,lidar3d_plate_link-lidar3d_base_link_x,lidar3d_plate_link-lidar3d_base_link_y,lidar3d_plate_link-lidar3d_base_link_z,lidar3d_plate_link-lidar3d_base_link_r1,lidar3d_plate_link-lidar3d_base_link_r2,lidar3d_plate_link-lidar3d_base_link_r3,front_right_camera_link-front_right_camera_rgb_frame_x,front_right_camera_link-front_right_camera_rgb_frame_y,front_right_camera_link-front_right_camera_rgb_frame_z,front_right_camera_link-front_right_camera_rgb_frame_r1,front_right_camera_link-front_right_camera_rgb_frame_r2,front_right_camera_link-front_right_camera_rgb_frame_r3,front_left_camera_link-front_left_camera_rgb_frame_x,front_left_camera_link-front_left_camera_rgb_frame_y,front_left_camera_link-front_left_camera_rgb_frame_z,front_left_camera_link-front_left_camera_rgb_frame_r1,front_left_camera_link-front_left_camera_rgb_frame_r2,front_left_camera_link-front_left_camera_rgb_frame_r3,world-pattern_link_x,world-pattern_link_y,world-pattern_link_z,world-pattern_link_r1,world-pattern_link_r2,world-pattern_link_r3
c002_p_pattern_1_lidar3d_oe_58,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_43,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_21,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_69,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_75,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_46,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_72,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_47,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_111,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_13,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_110,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_28,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_20,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_33,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_95,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_96,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_64,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_50,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_109,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_115,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_30,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_89,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_94,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_22,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_74,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_35,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_91,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_106,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_26,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_65,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_32,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_55,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_100,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_38,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_116,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_42,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_97,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_63,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_102,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_105,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_12,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_39,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_67,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_101,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_77,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_56,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_99,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_15,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_86,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_76,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_78,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_107,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_61,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_18,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_24,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_104,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_70,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_92,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_114,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_31,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_62,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_79,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_71,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_40,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_41,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_68,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_85,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_80,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_51,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_113,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_57,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_88,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_oe_60,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_ld_0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_ld_1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_ld_2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_ld_3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_ld_4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c002_p_pattern_1_lidar3d_ld_5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner34,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner36,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner37,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner39,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner42,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner46,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner47,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner49,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner52,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner57,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner60,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner62,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner64,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner65,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner66,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner68,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner69,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner70,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner71,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner72,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner73,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner74,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner75,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner76,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner77,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner78,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner79,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner80,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner81,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner82,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner83,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner84,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner85,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner86,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_left_camera_corner87,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner4,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner6,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner7,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner8,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner9,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner12,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner13,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner14,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner15,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner16,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner17,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner18,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner19,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner20,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
c003_p_pattern_1_front_right_camera_corner21,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
